sample_id,"sepal_length(4.3, 5.3)","sepal_length(5.3, 6.3)","sepal_length(6.3, 7.3)","sepal_length(7.3, 8.3)","sepal_width(2.0, 3.25)","sepal_width(3.25, 4.5)","petal_length(1.0, 3.0)","petal_length(3.0, 5.0)","petal_length(5.0, 7.0)","petal_width(0.1, 1.1)","petal_width(1.1, 2.1)","petal_width(2.1, 3.1)",is_setosa
iris_0,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_1,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_2,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_3,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_4,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_5,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_6,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_7,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_8,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_9,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_10,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_11,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_12,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_13,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_14,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_15,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_16,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_17,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_18,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_19,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_20,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_21,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_22,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_23,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_24,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_25,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_26,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_27,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_28,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_29,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_30,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_31,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_32,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_33,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_34,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_35,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_36,False,True,False,False,False,True,True,False,False,True,False,False,True
iris_37,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_38,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_39,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_40,True,False,False,False,False,True,True,False,False,True,False,False,True
iris_41,True,False,False,False,True,False,True,False,False,True,False,False,True
iris_42,True,False,False,False,True,False,True,False,False,True,False,False,True
