sample_id,"sepal_length(4.3, 5.3)","sepal_length(5.3, 6.3)","sepal_length(6.3, 7.3)","sepal_length(7.3, 8.3)","sepal_width(2.0, 3.25)","sepal_width(3.25, 4.5)","petal_length(1.0, 3.0)","petal_length(3.0, 5.0)","petal_length(5.0, 7.0)","petal_width(0.1, 1.1)","petal_width(1.1, 2.1)","petal_width(2.1, 3.1)",is_versicolor
iris_0,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_1,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_2,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_3,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_4,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_5,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_6,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_7,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_8,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_9,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_10,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_11,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_12,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_13,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_14,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_15,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_16,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_17,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_18,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_19,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_20,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_21,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_22,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_23,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_24,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_25,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_26,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_27,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_28,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_29,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_30,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_31,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_32,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_33,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_34,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_35,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_36,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_37,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_38,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_39,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_40,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_41,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_42,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_43,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_44,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_45,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_46,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_47,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_48,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_49,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_50,False,False,True,False,True,False,False,True,False,False,True,False,True
iris_51,False,False,True,False,True,False,False,True,False,False,True,False,True
iris_52,False,False,True,False,True,False,False,True,False,False,True,False,True
iris_53,False,True,False,False,True,False,False,True,False,False,True,False,True
iris_54,False,False,True,False,True,False,False,True,False,False,True,False,True
iris_55,False,True,False,False,True,False,False,True,False,False,True,False,True
iris_56,False,False,True,False,False,True,False,True,False,False,True,False,True
